"","SRR15563640","SRR15563641","SRR15563642","SRR15563643","SRR15563648","SRR15563649"
"ca14",0,0,0,0,0,0
"ca8",0,1.238593,1.898333,1.922865,0,1.895165
"ca10a",0,0,0,0,0,0
"ca10b",0,0,0,0,0,0
"ca5a",2.678207,13.338223,17.94725,13.970449,6.243718,7.852738
"ca12",6.856084,12.516788,25.91951,44.97242,7.703603,8.860943
"ca4l",182.486694,114.211571,55.833179,24.47094,199.924408,175.558563
"cahz",202.824783,116.444298,225.590729,405.706696,306.304474,251.654709
"ca4a",0,0,0,0,0,1.541948
"ca4b",0,0,0,0,0,0
"ca4c",0,0,0,0,0,0
"car15",0,0,0,0,0,0
"ca6",102.279434,159.968781,195.678085,173.436844,131.310089,144.691513
"ca2",173.467026,121.710892,170.44838,127.310692,176.253815,196.045395
"ca7",0,2.158247,2.633995,0,0,2.572333
"ca16b",4.485816,7.374051,13.108627,10.624705,5.040699,8.108789
"ca4",0,16.217054,13.630198,10.689295,0,10.602344
