GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
6623	0.00	0.00	0.1221	-43.1405794	-5.2670489	595.59	SNCG	synuclein gamma
598	8.78e-196	9.87e-200	0.0567	-30.152773	-1.708156	5324.16	BCL2L1	BCL2 like 1
6376	3.63e-174	6.12e-178	0.2389	-28.4419966	-6.794808	385.77	CX3CL1	C-X3-C motif chemokine ligand 1
3487	1.37e-171	3.07e-175	0.1468	-28.2228245	-4.1436617	2019.86	IGFBP4	insulin like growth factor binding protein 4
26471	5.07e-157	1.42e-160	0.1757	-27.0013736	-4.7451382	422.8	NUPR1	nuclear protein 1, transcriptional regulator
54541	1.52e-153	5.57e-157	0.06	-26.6936966	-1.6004643	1737.42	DDIT4	DNA damage inducible transcript 4
2307	1.52e-153	5.97e-157	0.2285	-26.6910992	-6.1000743	210.3	FOXS1	forkhead box S1
5420	6.83e-128	3.07e-131	0.1829	-24.3760495	-4.4579099	16695.74	PODXL	podocalyxin like
8482	2.08e-127	1.05e-130	0.1206	-24.3256064	-2.933331	963.55	SEMA7A	semaphorin 7A (John Milton Hagen blood group)
11346	1.70e-110	9.57e-114	0.2298	-22.666622	-5.2091936	1519.27	SYNPO	synaptopodin
4088	1.51e-96	9.31e-100	0.105	-21.201208	-2.226301	3128.83	SMAD3	SMAD family member 3
595	1.41e-93	9.51e-97	0.1437	-20.8725528	-2.999337	11976.54	CCND1	cyclin D1
3955	6.70e-85	4.89e-88	0.1086	-19.890785	-2.1598628	327.01	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
200879	1.39e-84	1.09e-87	0.2404	-19.8505715	-4.7721233	141.22	LIPH	lipase H
4478	5.38e-82	4.53e-85	0.0754	-19.5452109	-1.4735994	25605.56	MSN	moesin
103021294	7.24e-73	6.50e-76	0.0859	-18.4380744	-1.5833029	1219.13	ABALON	apoptotic BCL2L1-antisense long non-coding RNA
54888	1.99e-71	1.90e-74	0.0234	18.2546244	0.4266778	5639.48	NSUN2	NOP2/Sun RNA methyltransferase 2
8542	2.55e-68	2.58e-71	0.2354	-17.8563409	-4.2040859	160.22	APOL1	apolipoprotein L1
57178	1.74e-66	1.85e-69	0.0974	-17.6161691	-1.7162852	3199.17	ZMIZ1	zinc finger MIZ-type containing 1
24	4.50e-66	5.05e-69	0.3288	-17.5592481	-5.7726821	198.93	ABCA4	ATP binding cassette subfamily A member 4
132014	2.16e-65	2.55e-68	0.255	-17.4672211	-4.4536501	167.33	IL17RE	interleukin 17 receptor E
7318	7.58e-64	9.36e-67	0.193	-17.2602944	-3.3308238	179.58	UBA7	ubiquitin like modifier activating enzyme 7
340061	8.71e-59	1.13e-61	0.3592	-16.5712239	-5.9517917	138.6	STING1	stimulator of interferon response cGAMP interactor 1
55568	2.77e-58	3.73e-61	0.0598	-16.4990161	-0.9864687	3028.61	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10
51435	4.05e-54	5.69e-57	0.0992	-15.9067152	-1.5778391	4416.6	SCARA3	scavenger receptor class A member 3
65018	1.88e-53	2.74e-56	0.0726	-15.8080039	-1.1474694	3058.37	PINK1	PTEN induced kinase 1
10290	2.31e-53	3.51e-56	0.1245	-15.7924453	-1.9664409	607.21	SPEG	striated muscle enriched protein kinase
6319	4.56e-53	7.18e-56	0.0788	15.7472196	1.2414999	24898.31	SCD	stearoyl-CoA desaturase
9901	3.84e-51	6.26e-54	0.0661	-15.462043	-1.0222865	432.83	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3
26579	3.43e-50	5.78e-53	0.3068	-15.3181433	-4.6997616	69.05	MYEOV	myeloma overexpressed
146433	5.46e-50	9.51e-53	0.3526	-15.2857789	-5.3904261	282.08	IL34	interleukin 34
87	4.08e-49	7.33e-52	0.067	-15.1522053	-1.0152414	23313.17	ACTN1	actinin alpha 1
11343	6.03e-49	1.12e-51	0.2657	-15.1244417	-4.018473	147.99	MGLL	monoglyceride lipase
274	4.40e-46	8.40e-49	0.0764	-14.6820996	-1.1218744	863.06	BIN1	bridging integrator 1
3635	3.11e-45	6.11e-48	0.1532	-14.5469523	-2.2280311	96.23	INPP5D	inositol polyphosphate-5-phosphatase D
824	4.71e-45	9.52e-48	0.1211	-14.5165466	-1.7572598	18973.47	CAPN2	calpain 2
65009	7.67e-45	1.59e-47	0.1703	-14.4811357	-2.465764	381.99	NDRG4	NDRG family member 4
51222	2.67e-44	5.70e-47	0.0701	-14.3932692	-1.0088426	2694.95	ZNF219	zinc finger protein 219
57804	3.10e-44	6.79e-47	0.0724	-14.3811839	-1.0415434	3353.64	POLD4	DNA polymerase delta 4, accessory subunit
467	4.01e-41	9.01e-44	0.1028	-13.8747324	-1.4268112	291.11	ATF3	activating transcription factor 3
1893	5.49e-41	1.26e-43	0.343	-13.8505233	-4.7507779	1399.88	ECM1	extracellular matrix protein 1
6303	6.10e-41	1.44e-43	0.155	-13.8411909	-2.1458071	3599.47	SAT1	spermidine/spermine N1-acetyltransferase 1
169611	7.10e-41	1.71e-43	0.2428	-13.8285342	-3.3577428	641.16	OLFML2A	olfactomedin like 2A
