,Day_14,Day_14.5,Day_18,Week_8
Sult1a1,-1.73696559416621,-0.358453970912476,3.28983446517751,8.92608839782545
Sult1a2,0,-0.556393348524385,-6.64385618977472,-6.64385618977472
Sult1b1,-3.18442457113743,-1.32192809488736,-2.32192809488736,1.67807190511264
Sult1c2,-6.64385618977472,-0.810966175609983,-3.83650126771712,0.815575428862573
Sult1d1,0.333423733725192,-0.200912693925996,3.02147972741045,3.09761079662642
Sult1e1,-6.64385618977472,-0.234465253637023,-6.64385618977472,-1.25153876699596
Sult2a1,-1.64385618977472,0.070389327891398,0.669026765509631,6.12308675098106
Sult2a2,-5.05889368905357,0.55581615506164,0.0285691521967709,7.05983113619282
Sult2a3,-3.83650126771712,0.0840642647884746,-4.32192809488736,0.411426245726465
Sult2a4,-6.64385618977472,0.137503523749935,-6.64385618977472,-1.25153876699596
Sult2a5,-6.64385618977472,0.0426443374084937,-3.47393118833241,1.78240856492737
Sult2a6,-6.64385618977472,0.16349873228288,-4.64385618977472,-2.55639334852439
Sult2a7,-6.64385618977472,0.263034405833794,-6.64385618977472,1.91073266190291
Sult2a8,-5.05889368905357,-0.395928676331139,-5.05889368905357,6.22091032164872
Sult3a1,-6.64385618977472,0.0285691521967709,0.16349873228288,3.68594014844598
Sult4a1,-4.64385618977472,-1.18442457113743,-4.64385618977472,-5.64385618977472
Sult5a1,-1.47393118833241,-0.104697378666693,0.286881147788162,5.6202931499486
Sult2b1,-4.32192809488736,-0.15200309344505,-3.83650126771712,-1.51457317282976
Sult3a2,-6.64385618977472,0.286881147788162,-5.64385618977472,0.887525270741588
Sult6b1,-6.64385618977472,0.367371065648529,-6.64385618977472,-3.18442457113743
Sult7a1,-6.64385618977472,0.310340120612151,-6.64385618977472,-4.64385618977472
