,PPKM_brain,FPKM_heart,FPKM_kidney,FPKM_liver,TPM_brain,TPM_heart,TPM_kidney,TPM_liver
EPC1,5.10387815383831,3.36005772395925,4.01982838931467,1.45963725360186,5.82085099961782,3.6933100875789,4.53445821431077,1.94757153234612
igf1,2.48578719829401,0.0486003016011452,0,7.27882913674154,3.20275997820091,0.381851477568344,0,7.76676333163723
gsta,5.93618034956881,4.29450224086999,5.46784196968079,2.08919880124124,6.65315319292877,4.62775448504241,5.98247185202415,2.57713294701955
miox,0,0,10.2899316326899,5.65985872823238,0,0,10.8045613827938,6.14779277336314
atp1b1a,7.78929144749442,8.04078635557455,11.1928812338847,5.36081120396268,8.5062643541551,8.37403864917329,11.7075109034677,5.84874536089678
ATP1A1,9.06304940250613,8.18394925692767,6.77558988372209,2.4827362698386,9.78002225647608,8.51720164687642,7.29021970403584,2.9706703615417
il8 ,2.21458707773316,2.28329123309004,3.79419073637007,0,2.93155977038108,2.61654355082442,4.30882063694671,0
TLR7,0,0,0,0,0,0,0,0
pomc,0.994826608489963,0,0,0,1.7117992721825,0,0,0
pold3,3.64921708228762,2.22595631584343,3.04108612092742,0.0969243419606472,4.36618986495022,2.55920887528973,3.55571580084491,0.584858622938567
aqp1a2,0,0,-0.468153957314892,0,0,0,0.0464742967555713,0
kcnk3a,0.927239603088443,0,1.4276211896038,0,1.64421254914193,0,1.94225062049447,0
KCNK3,1.59602058930124,0,0,0,2.31299357581017,0,0,0
npy,8.58121828590691,0,2.57894330073559,0,9.29819111196446,0,3.09357285208229,0
CCKb,9.2346649882648,2.06185290891225,0,0,9.95163760455838,2.39510558603641,0,0
hsp70,9.6043667007364,9.57437525045994,10.202560894215,8.9658065625869,10.3213395186966,9.90762740968786,10.717190678235,9.45374072987454
