Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSONIG00000015575	ctsd	LG1	+	43174	50651	48.456665	108.584114	122.577431
ENSONIG00000015584	sirt3	LG1	-	102896	147166	0.479870	5.978527	6.748985
ENSONIG00000030102	drd4b	LG1	+	109896	124733	0.000000	0.000000	0.000000
ENSONIG00000015587	psmd13	LG1	+	147168	152791	27.398348	50.742844	57.282120
ENSONIG00000040017	-	LG1	+	166674	173128	0.000000	0.000000	0.000000
ENSONIG00000015598	csnk2a2a	LG1	+	185847	210005	11.085162	29.884409	33.735638
ENSONIG00000015601	MATCAP1	LG1	-	211080	240465	0.000000	0.000000	0.000000
ENSONIG00000034066	zgc:194679	LG1	+	271820	273556	0.000000	0.000000	0.000000
ENSONIG00000040224	-	LG1	-	363621	364775	0.000000	0.000000	0.000000
ENSONIG00000015603	-	LG1	+	438490	498765	0.000000	0.000000	0.000000
ENSONIG00000041570	-	LG1	+	695479	698251	0.000000	0.000000	0.000000
ENSONIG00000030686	-	LG1	-	846344	847360	0.000000	0.000000	0.000000
ENSONIG00000007031	-	LG1	-	1003379	1054848	0.000000	0.000000	0.000000
ENSONIG00000041977	-	LG1	+	1011504	1012523	0.000000	0.000000	0.000000
ENSONIG00000007022	PPIP5K1	LG1	+	1095240	1128418	5.791689	11.462961	12.940203
ENSONIG00000029455	MAP1A	LG1	-	1139947	1184212	0.000000	0.000000	0.000000
ENSONIG00000007015	tp53bp1	LG1	+	1191930	1210506	5.281778	7.391009	8.343494
ENSONIG00000007009	tubgcp4	LG1	-	1211366	1222498	2.719755	4.520253	5.102781
ENSONIG00000007008	cdkn2aip	LG1	+	1222843	1225056	5.929445	8.297317	9.366598
ENSONIG00000007007	-	LG1	-	1246690	1248211	14.787411	20.692633	23.359310
ENSONIG00000038256	cartl	LG1	-	1311155	1313716	0.000000	0.000000	0.000000
ENSONIG00000006998	iqgap1	LG1	+	1317919	1359131	11.525592	33.154224	37.426834
ENSONIG00000037028	-	LG1	+	1362983	1369727	2.901235	4.059818	4.583010
ENSONIG00000006994	-	LG1	+	1372754	1407019	1.288787	9.970419	11.255315
ENSONIG00000006993	-	LG1	+	1424388	1473775	0.000000	0.000000	0.000000
ENSONIG00000006987	SERINC4	LG1	-	1477675	1504038	0.000000	0.000000	0.000000
ENSONIG00000039947	-	LG1	-	1510637	1511653	0.000000	0.000000	0.000000
ENSONIG00000042789	-	LG1	+	1522926	1525526	0.000000	0.000000	0.000000
ENSONIG00000006986	hypk	LG1	+	1532883	1536172	267.871185	374.843170	423.149506
ENSONIG00000006983	mfap1	LG1	-	1535876	1541318	19.737532	29.799271	33.639530
ENSONIG00000006982	hddc3	LG1	-	1542200	1544284	5.150856	7.207805	8.136681
ENSONIG00000006972	vps33b	LG1	+	1544680	1553505	9.096570	12.729204	14.369628
ENSONIG00000006966	prc1b	LG1	+	1554057	1569394	3.573596	6.134490	6.925047
ENSONIG00000006965	ptpmt1	LG1	+	1570913	1587436	8.167203	11.428703	12.901529
ENSONIG00000006959	ndufs3	LG1	+	1588731	1596645	85.804649	132.450989	149.520050
ENSONIG00000035972	c1qtnf4	LG1	-	1601159	1603757	0.000000	0.000000	0.000000
ENSONIG00000033438	-	LG1	+	1726612	1728456	0.000000	0.000000	0.000000
ENSONIG00000036931	-	LG1	-	1764679	1769758	0.000000	0.000000	0.000000
ENSONIG00000032403	-	LG1	+	1823282	1826191	0.000000	0.000000	0.000000
ENSONIG00000006940	-	LG1	+	1830577	1833430	0.000000	0.000000	0.000000
ENSONIG00000032169	-	LG1	-	1833909	1835855	0.000000	0.000000	0.000000
ENSONIG00000027529	-	LG1	+	1850747	1852573	0.000000	0.000000	0.000000
ENSONIG00000006935	atp6v0d1	LG1	+	1885753	1893754	16.932022	46.606861	52.613129
ENSONIG00000041202	oni-mir-10581d	LG1	+	1891172	1891227	0.000000	0.000000	0.000000
ENSONIG00000006931	foxr1	LG1	+	1903702	1909403	0.000000	0.000000	0.000000
ENSONIG00000031130	-	LG1	+	2002303	2004771	0.000000	0.000000	0.000000
ENSONIG00000034883	-	LG1	-	2022157	2067806	0.000000	0.000000	0.000000
ENSONIG00000037659	-	LG1	-	2025744	2036371	0.000000	0.000000	0.000000
ENSONIG00000040556	-	LG1	+	2068920	2071854	0.000000	0.000000	0.000000
ENSONIG00000015607	large2	LG1	-	2087727	2142589	0.888518	1.706474	1.926389
ENSONIG00000028674	-	LG1	+	2227974	2229422	0.000000	0.000000	0.000000
ENSONIG00000040408	-	LG1	-	2390751	2392184	0.000000	0.000000	0.000000
ENSONIG00000040736	-	LG1	+	2484422	2485441	0.000000	0.000000	0.000000
ENSONIG00000015612	-	LG1	+	2518265	2535255	9.765143	18.548229	20.938553
ENSONIG00000015615	-	LG1	+	2541392	2545268	0.000000	0.000000	0.000000
ENSONIG00000015616	-	LG1	+	2552674	2571376	0.000000	0.000000	0.000000
ENSONIG00000015618	ABTB2	LG1	+	2574288	2596783	0.000000	0.000000	0.000000
ENSONIG00000015626	BRSK2	LG1	-	2598847	2749824	0.000000	0.000000	0.000000
ENSONIG00000036551	-	LG1	+	2767913	2777425	0.000000	0.000000	0.000000
ENSONIG00000015633	rdh14a	LG1	+	2779978	2781595	2.529617	3.539797	3.995974
ENSONIG00000015636	-	LG1	+	2799371	2836356	1.984082	6.830444	7.710690
ENSONIG00000039450	SHANK2	LG1	+	2872213	3179253	0.000000	0.000000	0.000000
ENSONIG00000042241	-	LG1	-	3130909	3131928	0.000000	0.000000	0.000000
ENSONIG00000015695	dis3l	LG1	+	3304668	3344969	3.266098	4.805243	5.424498
ENSONIG00000029040	tipin	LG1	-	3345053	3358277	4.457302	6.237286	7.041090
ENSONIG00000032246	-	LG1	+	3350171	3350524	0.000000	0.000000	0.000000
ENSONIG00000015680	crybgx	LG1	+	3379997	3385955	0.000000	0.000000	0.000000
ENSONIG00000015677	ccnb2	LG1	-	3388488	3391500	1.398154	1.956494	2.208629
ENSONIG00000015673	cars1	LG1	-	3394673	3409962	6.037123	9.401054	10.612576
ENSONIG00000028006	-	LG1	+	3397912	3398967	0.000000	0.000000	0.000000
ENSONIG00000015670	pex16	LG1	+	3411829	3426469	6.710104	9.389725	10.599786
ENSONIG00000030524	-	LG1	-	3418990	3420048	0.000000	0.000000	0.000000
ENSONIG00000015660	arfgap2	LG1	-	3426890	3441708	9.442163	20.730259	23.401785
ENSONIG00000015659	-	LG1	+	3442381	3455200	5.004935	7.003611	7.906173
ENSONIG00000015649	ppfia1	LG1	+	3511086	3556602	5.535402	8.106561	9.151260
ENSONIG00000028931	-	LG1	-	3591393	3611246	0.000000	0.000000	0.000000
ENSONIG00000027350	-	LG1	-	3631525	3633870	0.000000	0.000000	0.000000
ENSONIG00000035664	-	LG1	-	3651938	3656401	0.000000	0.000000	0.000000
ENSONIG00000028754	-	LG1	+	3707674	3711756	0.000000	0.000000	0.000000
ENSONIG00000008311	-	LG1	+	3840314	3856285	0.000000	0.000000	0.000000
ENSONIG00000008316	tollip	LG1	-	3857507	4050728	21.046558	34.768917	39.249619
ENSONIG00000038545	-	LG1	+	3868610	3871834	0.000000	0.000000	0.000000
ENSONIG00000007321	mtch2	LG1	+	3933805	3954320	7.331424	53.727448	60.651344
ENSONIG00000007320	TLNRD1	LG1	+	3964812	3966516	11.404762	15.959153	18.015821
ENSONIG00000033358	-	LG1	+	4020671	4022659	0.000000	0.000000	0.000000
ENSONIG00000028757	oni-mir-10898	LG1	+	4023316	4023386	0.000000	0.000000	0.000000
ENSONIG00000042289	-	LG1	+	4024419	4027454	0.000000	0.000000	0.000000
ENSONIG00000033332	-	LG1	-	4064079	4065365	0.000000	0.000000	0.000000
ENSONIG00000018108	-	LG1	+	4076096	4080271	2.502155	7.285358	8.224229
